TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud
100001,2024-08-28 04:33:20.438538,2722.5387557923727,855,refund,Philadelphia,0
100002,2024-03-23 02:55:06.681877,2624.140724804631,778,refund,San Diego,0
100003,2024-08-20 07:30:55.629808,1837.380866403836,618,refund,Philadelphia,0
100004,2024-07-29 19:02:12.759295,789.4217390607058,831,purchase,Dallas,0
100005,2024-09-29 07:53:14.076873,3091.2791079042245,12,refund,Los Angeles,0
100006,2024-01-31 14:18:52.416458,545.6068227798576,182,refund,Dallas,0
100007,2024-07-18 14:15:55.777881,3735.4657512847043,492,purchase,San Antonio,0
100008,2024-02-28 02:31:23.528184,2356.102671284312,24,purchase,New York,0
100009,2024-03-12 10:37:23.630593,2568.0912993333486,828,refund,Dallas,0
100010,2024-06-10 07:27:21.719142,1588.6314407969035,459,purchase,Los Angeles,0
100011,2023-10-24 19:52:34.530525,4156.157231986462,400,refund,Phoenix,0
100012,2024-06-24 06:18:54.696522,3968.405885754629,917,purchase,San Diego,0
100013,2024-08-06 20:39:24.445434,2881.56666798069,690,purchase,Chicago,0
100014,2024-03-14 17:35:16.504231,882.604594250927,591,purchase,Philadelphia,0
100015,2024-09-19 19:14:40.817885,4274.761456023778,846,refund,Dallas,0
100016,2024-10-14 18:28:34.431993,1229.2004763240757,86,purchase,San Antonio,0
100017,2024-09-25 15:03:59.177567,654.1662298358505,948,purchase,Philadelphia,0
100018,2024-09-08 01:25:36.752779,838.8733080587391,594,purchase,San Jose,0
100019,2024-07-31 09:44:17.005785,810.0121782966909,825,purchase,Philadelphia,0
100020,2024-04-04 17:10:57.820430,1594.8782276157801,300,refund,Los Angeles,0
100021,2024-07-10 23:13:22.145598,3974.836420872149,941,purchase,Los Angeles,0
100022,2023-10-23 10:05:49.806568,2293.629830901629,528,refund,Dallas,0
100023,2024-09-11 08:07:22.575804,1021.1692831168439,486,purchase,Houston,0
100024,2023-12-14 13:43:14.759316,4313.290764183098,301,purchase,San Jose,0
100025,2023-12-15 18:50:14.269838,1333.9561570213395,744,refund,San Antonio,0
100026,2023-12-16 13:35:01.364898,832.7139630281484,529,refund,Philadelphia,0
100027,2024-04-23 22:02:27.810651,3034.08689539722,719,refund,Chicago,0
100028,2024-01-14 19:46:32.716085,4734.93597336451,207,refund,San Antonio,0
100029,2024-01-21 15:11:48.082043,442.15545428428976,856,refund,Phoenix,0
100030,2024-05-09 21:51:05.301186,4382.9905157588555,357,purchase,Dallas,0
100031,2023-11-08 04:52:54.165724,4693.59723879329,775,purchase,San Antonio,0
100032,2024-05-02 04:09:56.557620,1381.1898117602057,710,refund,San Diego,0
100033,2024-08-20 09:27:27.771782,3104.68971662013,109,purchase,Los Angeles,0
100034,2024-07-03 13:41:33.097383,3373.084110260327,872,purchase,Phoenix,0
100035,2024-01-25 05:51:47.700283,2107.5737475604033,545,refund,Houston,0
100036,2023-11-15 19:35:55.006915,3615.417861335044,105,purchase,San Jose,0
100037,2024-07-24 16:33:59.857936,2140.161289789652,83,refund,Chicago,0
100038,2024-04-05 20:28:41.126677,2544.952158411162,854,refund,New York,0
100039,2023-12-02 04:20:27.125825,3133.308590995874,30,purchase,Chicago,0
100040,2024-02-06 17:01:04.504304,2386.312307891439,513,refund,Philadelphia,0
100041,2023-11-04 20:27:16.853178,128.09732855528722,888,refund,San Antonio,0
100042,2024-05-03 10:48:53.341853,1823.9545847122686,728,purchase,San Antonio,0
100043,2024-04-20 23:40:10.695053,1899.676695043082,895,purchase,Los Angeles,0
100044,2023-12-20 10:09:19.841416,289.64961190895605,316,purchase,San Jose,0
100045,2024-07-31 01:35:07.370523,408.89821965981974,377,purchase,Phoenix,0
100046,2023-10-31 15:12:36.772704,15.02403551579785,301,refund,Phoenix,0
100047,2024-07-29 02:07:59.157726,633.0925520923046,966,purchase,Los Angeles,0
100048,2023-11-08 07:17:38.155617,200.3167573643282,144,refund,Dallas,0
100049,2024-05-08 22:58:59.523622,2043.61023736387,689,refund,San Jose,0
100050,2024-05-08 22:56:55.046992,736.6661547772784,297,refund,Houston,0
100051,2024-10-05 02:23:40.860667,4443.619625714072,62,purchase,Philadelphia,0
100052,2024-06-02 09:09:32.825316,3441.738896334855,473,refund,San Jose,0
100053,2024-08-05 01:10:48.040938,238.32942160868757,69,purchase,Philadelphia,0
100054,2024-08-12 13:40:01.653644,3366.9685071103195,860,refund,Houston,0
100055,2024-01-17 22:18:51.892543,2385.78247521933,576,refund,Houston,0
100056,2024-09-03 17:09:58.030210,944.4601979467403,535,refund,New York,0
100057,2024-07-23 23:24:50.385810,353.82854425349166,860,refund,San Jose,0
100058,2024-10-02 14:08:33.652360,3986.419172483444,488,purchase,San Diego,0
100059,2024-02-12 22:45:12.431224,3460.586230616911,767,refund,Phoenix,0
100060,2024-08-27 10:49:34.142809,4877.648439748917,278,refund,Los Angeles,0
100061,2024-03-31 22:28:05.444245,2432.767670057901,380,refund,New York,0
100062,2023-12-21 03:00:00.000125,2998.7562621023258,710,refund,Houston,0
100063,2024-07-16 11:37:58.196205,1113.2384826338655,389,purchase,Dallas,0
100064,2024-07-01 10:53:26.863888,4437.439068705452,392,refund,San Jose,0
100065,2024-02-17 02:24:31.975784,4437.221395245646,28,purchase,Phoenix,0
100066,2024-05-12 15:14:26.840618,4519.656658950045,75,purchase,Phoenix,0
100067,2024-09-05 06:53:48.964705,2539.803941110549,514,purchase,Philadelphia,0
100068,2024-03-27 12:06:26.359721,1009.1528511663615,945,refund,San Jose,0
100069,2024-04-14 13:07:35.958997,3843.5900005543676,663,purchase,Dallas,0
100070,2024-01-27 10:24:30.825992,3394.420785589477,616,refund,Los Angeles,0
100071,2024-08-24 23:59:48.881152,728.6029699353221,865,refund,Los Angeles,0
100072,2024-09-29 22:25:50.631145,554.8666567216976,370,purchase,Chicago,0
100073,2024-09-19 14:37:46.066424,4717.548703031757,930,refund,New York,0
100074,2023-10-26 06:40:10.319933,1805.6403095843996,447,purchase,San Jose,0
100075,2024-04-23 04:47:37.525423,93.0623699999381,871,refund,Houston,0
100076,2024-06-23 16:21:15.837866,1727.9859731992397,155,refund,San Jose,0
100077,2024-06-07 00:44:24.263135,1469.4658690688843,872,refund,Houston,0
100078,2024-04-15 18:39:18.492181,2475.274301016845,56,purchase,San Antonio,0
100079,2024-08-02 23:32:19.550271,2291.180380976233,703,refund,San Antonio,0
100080,2024-05-27 08:17:39.325656,186.68436295089484,81,refund,Philadelphia,0
100081,2024-03-14 12:20:04.262050,319.1693950357209,131,purchase,Los Angeles,0
100082,2023-11-18 11:08:27.932173,3509.5306414335114,257,purchase,Dallas,0
100083,2024-06-21 19:01:10.518509,1933.1938243270038,637,refund,Houston,0
100084,2024-10-20 10:47:28.851114,959.5816192645392,939,refund,Houston,0
100085,2023-11-30 07:21:51.934560,3191.5045459754683,88,purchase,Philadelphia,0
100086,2024-04-05 17:22:32.913160,3050.4514895036027,83,purchase,San Jose,0
100087,2024-02-08 12:58:26.905028,3000.7249251242924,780,purchase,Dallas,0
100088,2023-11-22 15:24:54.398591,2522.9326346522344,2,refund,Phoenix,0
100089,2023-10-26 22:11:31.949101,2669.4846306811583,194,purchase,San Diego,0
100090,2024-07-30 21:55:24.996474,3851.8112548620807,258,refund,Chicago,0
100091,2024-07-29 05:25:45.978586,2571.05420378732,526,refund,Los Angeles,0
100092,2024-06-20 15:06:56.898778,2468.943029086916,710,purchase,Phoenix,0
100093,2023-12-22 16:42:16.868682,3474.0818063493284,722,purchase,Chicago,0
100094,2024-09-17 16:41:00.472747,1245.84393715296,777,refund,Philadelphia,0
100095,2024-06-11 20:07:32.519036,2690.9015833117774,930,purchase,San Diego,0
100096,2024-10-13 09:39:39.924827,2487.6299332945373,615,purchase,Philadelphia,0
100097,2024-09-28 03:02:31.439837,4945.74556918314,23,purchase,San Jose,0
100098,2024-08-04 01:20:10.867768,730.5620927210315,270,refund,San Diego,0
100099,2024-02-08 13:17:50.951621,576.717721657279,280,purchase,San Diego,0
100100,2024-08-22 07:13:29.039724,4176.171095091108,441,refund,Dallas,0
100101,2024-09-05 15:19:37.918769,4923.017784288827,773,purchase,San Jose,0
100102,2024-05-24 05:23:03.133500,4325.248857920948,902,refund,New York,0
100103,2024-10-14 02:08:34.412380,3419.836941421762,6,purchase,New York,0
100104,2024-01-31 14:42:37.903974,341.59340317114635,61,purchase,Chicago,0
100105,2024-04-30 16:10:29.010077,4884.337858657166,680,purchase,Dallas,0
100106,2024-07-26 06:14:01.856667,1261.6786234102356,361,purchase,Houston,0
100107,2024-01-08 19:08:50.637488,3130.0199105932843,530,purchase,San Diego,0
100108,2024-10-11 22:53:54.245085,3382.4095627504867,668,purchase,San Jose,0
100109,2024-05-30 22:53:21.383745,2482.5347814638476,270,refund,Los Angeles,0
100110,2024-06-18 04:10:53.143134,676.8308424724784,925,purchase,San Diego,0
100111,2024-07-14 16:54:23.565702,877.0312114611129,789,refund,Phoenix,0
